dataset_identifier,origin,xml_filename,dataset_language,dataset_title_de,dataset_keyword_de,dataset_description_de,dataset_title_unknown,dataset_keyword_unknown,dataset_description_unknown,dataset_title_en,dataset_keyword_en,dataset_description_en,dataset_keyword_fr,dataset_title_fr,dataset_description_fr,dataset_title_it,dataset_keyword_it,dataset_description_it,dataset_title_rm,dataset_keyword_rm,dataset_description_rm,dataset_publisher_name,dataset_publisher_url,dataset_spatial,dataset_theme,dataset_issued,dataset_is_mobility,dataset_location_id,dataset_location,dataset_location_district,dataset_location_canton,dataset_location_country,dataset_language_status_de,dataset_language_status_en,dataset_language_status_fr,dataset_language_status_it,dataset_language_status_unknown,dataset_language_quality,dataset_description_length_de,dataset_description_length_en,dataset_description_length_fr,dataset_description_length_it,dataset_description_length_rm,dataset_distribution_format_count,dataset_keyword_count_de,dataset_keyword_count_en,dataset_keyword_count_fr,dataset_keyword_count_it,dataset_keyword_count_rm,dataset_cluster_id
ur-1789,geocat.ch,ur-1789.xml,,,"['Fliessgewässer', 'Gewässerzustand', 'opendata.swiss']",,Gewässerzustand Ökomorphologie DÜFUR GEP,"['Fliessgewässer', 'Gewässerzustand', 'opendata.swiss']","Anhand der Ökomorphologie wird hier der Zustand der Urner Fliessgewässer und Seeufer dargestellt. Ab dem Massstab 1:10'000 werden dabei auch Bauwerke und Abstürze ersichtlich. Ab dem Massstab 1:100'000 sind zusätzlich die 40 Messstellen, an welchen Daten für das Projekt DÜFUR (Dauerüberwachung der Fliessgewässer in den Urkantonen und Luzern) erhoben werden, dargestellt und jeweils mit dem Standortdatenblatt verlinkt. Die Farbcodierung der Punkte beruht nur auf die Beurteilung des äusseren Aspekts - pflanzlicher Bewuchs. Weiter sind auch die GEP-Punkte abgebildet.",,"['watercourse', 'water status', 'opendata.swiss']",,"[""cours d'eau"", ""cours d'eau"", 'état des eaux', 'état des eaux', 'opendata.swiss', 'opendata.swiss']",,,,"[""corso d'acqua"", 'stato delle acque', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['inlandWaters'],2024-08-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1843,geocat.ch,ur-1843.xml,,,['opendata.swiss'],,Strassenverkehrslärm Tag,['opendata.swiss'],"Der Strassenlärmkataster wurde mit dem Berechnungsprogramm SLIP erstellt. Grundlagen für die Berechnungen bilden die Verkehrszahlen der Kantons- und Gemeindestrassen aus dem Jahr 2018. Bei den Berechnungen werden die Topographie wie auch Hindernisse (Lärmschutzwände, Gebäude, usw.) mitberücksichtigt.",,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,"['environment_EnvironmentalProtection', 'environment']",2022-03-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1892,geocat.ch,ur-1892.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Stromversorgungssicherheit: Netzebene 7 (UR),"['Geobasisdaten', 'opendata.swiss']","Die Versorgungsgebiete bezeichnen und bestimmen die Netzgebiete der im Kanton Uri tätigen Stromnetzbetreiber gemäss Stromversorgungsgesetz (StromVG) Ein Netzgebiet ist die räumliche Ausdehnung des Stromnetzes des jeweiligen Netzbetreibers, an dem Endverbraucher angeschlossen sind. Ziel der Netzzuteilung ist die vollständige Abdeckung des gesamten Kantonsgebiets ohne verwaiste Gebiete. Aus rechtlicher Sicht ist die Netzzuteilung eine Konzession die den Netzbetreiber berechtigt und verpflichtet, das jeweilige Netzgebiet mit Strom zu versorgen. Private Haushalte verwenden die niedrigste Spannungsebene (Netzebene 7) und industrielle Verbraucher höhere Spannungsebenen (Netzebene 3 und 5).",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Energy', 'utilitiesCommunication']",2011-11-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1888,geocat.ch,ur-1888.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Schutzinventar Landschaft,"['Geobasisdaten', 'opendata.swiss']","Der Datensatz zeigt die schutzwürdigen Landschaften. Das Kantonale Schutzinventar hat gemäss kNHG Art. 17 hinweisenden Charakter. Es ist nicht abschliessend und wird laufend nachgeführt. Für die vollständige Anzeige des Schutzinventars müssen noch die beiden Layer ""Schutzinventar: Kultur"" und ""Schutzinventar: Natur"" dazugeladen werden. Link zu den Inventarlisten des Kantons Uri",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['environment_NatureProtection', 'environment']",2025-10-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1907,geocat.ch,ur-1907.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Stauanlagen unter kant. Aufsicht (UR),"['Geobasisdaten', 'opendata.swiss']","Stauanlagen sind Einrichtungen zum Aufstau oder zur Speicherung von Wasser oder Schlamm. In diesem Geobasisdatensatz werden Stauanlagen unter kantonaler Aufsicht verwaltet. Eine Stauanlage besteht aus einem Absperrbauwerk und dem zugehörigen Stauraum. Als Stauanlagen gelten auch Anlagen für den Rückhalt von Geschiebe, Eis und Schnee, sofern sie Wasser aufstauen können. Stauanlagen, welche die Kriterien gemäss Art. 2 des Stauanlagengesetzes (StAG) erfüllen, fallen unter den Geltungsbereich der Stauanlagengesetzgebung und stehen somit unter der direkten Aufsicht einer Sicherheitsbehörde, sei es einer kantonalen Aufsichtsbehörde oder der Aufsichtsbehörde des Bundes.",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2022-05-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1846,geocat.ch,ur-1846.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Konzessionen Grundwasserwärmepumpen,"['Geobasisdaten', 'opendata.swiss']","Hier sind die vom Kanton Uri verliehenen Konzessionen zur Wärmenutzung mittels Grundwasserwärmepumpen als Punkte aufgeschaltet. Die Wärme aus Grundwasserwärmepumpen wird in den meisten Fällen zu Heizzwecken (mit Wärmepumpen) genutzt. Es gibt aber auch andere Anwendungen wie zum Beispiel zur Kühlung (Klimatisierung, Prozesskühlung). Ergänzende Informationen für die Wärmenutzung aus Boden und Untergrund liefert das Wärmenutzungskonzept Kanton Uri 2017 (auf www.ur.ch) sowie die folgenden Layer auf www.geo.ur.ch: Konzessionen Erdsonden, Zulässigkeit Grundwasserwärmepumpen, Zulässigkeit Erdsonden, Grundwasserleiter und Isohypsen.",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Energy', 'utilitiesCommunication']",2025-09-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1860,geocat.ch,ur-1860.xml,,,,,i-EMS Strassenzustand,,Diesen Layer i-EMS (integrales Erhaltungsmanagement) zeigt die Zustandsaufnahmen der Strassen im Auftrag der Gemeinde.,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['imageryBaseMapsEarthCover_EarthCover', 'imageryBaseMapsEarthCover']",1970-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1880,geocat.ch,ur-1880.xml,,,,,Verkehrsbelastung - Abendspitze,,Belastungswerte der Abendspitze (ASP),,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2023-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1869,geocat.ch,ur-1869.xml,,,,,i-EMS Strassenunterhalt Prognose,,Diesen Layer i-EMS (integrales Erhaltungsmanagement) zeigt die Prognose im Zyklus von 4 Jahren der Strassenunterhalt mit den Kosten im Auftrag der Gemeinde.,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2024-09-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1818,geocat.ch,ur-1818.xml,,,['opendata.swiss'],,Zustand Einzugsgebiete,['opendata.swiss'],"Der Zustandsbericht Einzugsgebiete beinhaltet die Darstellung der Oberfläche des Siedlungsgebiets wie z.B.: Befestigungsarten / Gebiete mit Regenwasser-Versickerung, -Retention / Gebiete mit direkter Einleitung des Regenwassers in ein Gewässer / Gebiete mit direkter Regenwasser-Ableitung ins Umgelände / Charakterisierung der Verschmutzung der befestigten Oberflächen/ Geländeneigung.Dieser Layer ist Teil des GEP (ID 129), wurde aber noch nicht gemäss dem minimalen Geodatenmodell (MGDM) des Bundes umgesetzt!",,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2004-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1820,geocat.ch,ur-1820.xml,,,['opendata.swiss'],,Zustand Gefahrenbereich,['opendata.swiss'],"Der Bericht gibt Auskunft über die Gefahrenbereiche im Siedlungsgebiet (Industrie und Gewerbe, Verkehrsanlagen, Umschlagplätze usw.), die bei Schadenfällen die Entwässerungsanlagen belasten und die Gewässer und den Kläranlagenbetrieb gefährden können. Dieser Layer ist Teil des GEP (ID 129), wurde aber noch nicht gemäss dem minimalen Geodatenmodell (MGDM) des Bundes umgesetzt!",,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2004-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1823,geocat.ch,ur-1823.xml,,,,,Eigentum Korporation Uri,,Darstellung der Liegenschaften im Eigentum Korporation Uri,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['planningCadastre_Cadastre', 'planningCadastre']",2025-01-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1863,geocat.ch,ur-1863.xml,,,"['ISOS', 'Geobasisdaten', 'opendata.swiss']",,Schutzinventar Kultur,"['ISOS', 'Geobasisdaten', 'opendata.swiss']","Der Datensatz zeigt die schutzwürdigen Objekte (Gebiete, Einzelobjekte) im Bereich Kultur. Das Kantonale Schutzinventar hat gemäss kNHG Art. 17 hinweisenden Charakter. Es ist nicht abschliessend und wird laufend nachgeführt. Rechtsverbindliche Angaben sind bei der Fachstelle Heimatschutz und Denkmalpflege erhältlich. Die Archäologischen Zonen sind nicht Bestandteil des Schutzinventars und werden lediglich zur Information aufgeführt. Für die Anzeige des vollständigen Schutzinventars müssen noch die beiden Layer ""Schutzinventar: Natur"" und ""Schutzinventar: Landschaft"" dazugeladen werden. Link zu den Inventarlisten des Kantons Uri",,"['ISOS', 'official geodata', 'opendata.swiss']",,"['ISOS', 'ISOS', 'géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['ISOS', 'geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['society'],2025-10-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1988,geocat.ch,ur-1988.xml,,,,,Schiesslärm ohne Topograhie,,Schiesslärmbelastungskataster ohne Topographie. Die Grundlage für die Berechnungen bilden die verfügten Betriebsdaten der Schiessanlagen.,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['environment_EnvironmentalProtection', 'environment']",2012-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1885,geocat.ch,ur-1885.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Kindergartenschulkreise,"['Geobasisdaten', 'opendata.swiss']",Einzugsgebiete und Standorte der Kindergärten im Kanton Uri,,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['boundaries'],2025-05-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1804,geocat.ch,ur-1804.xml,,,,,Wasserversorgungsatlas,,VERTRAULICHInventar der Wasserversorgungsanlagen gemäss Verordnung über die Sicherstellung der Trinkwasserversorgung in Notlagen (VTN; SR 531.32).,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2004-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1842,geocat.ch,ur-1842.xml,,,['opendata.swiss'],,Fluglärm Lmax,['opendata.swiss'],"Der Fluglärmbelastungskataster bildet den Lärm aufgrund des Betriebs des Heliports in Erstfeld ab. Die Fluglärmberechnungen basieren auf dem Sachplan Infrastruktur der Luftfahrt (SIL) - Entwurf 22.09.2016. Die Lärmbelastungskurven stammen aus Berechnungen, die auf den tatsächlichen bzw. prognostizierten Flugbewegungen und den bekannten Lärmemissionen der verschiedenen Helikoptertypen beruhen.Die zuständige Stelle für die Berechnungen ist das Bundesamt für Zivilluftfahrt (BAZL) in Bern.",,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,"['environment_EnvironmentalProtection', 'environment']",2016-09-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1845,geocat.ch,ur-1845.xml,,,['opendata.swiss'],,Schiesslärm sonARMS,['opendata.swiss'],"Der Schiesslärmbelastungskataster wurde mit dem Schiesslärmmodell sonARMS des Bundesamt für Umwelt erstellt.Die Grundlage für die Berechnungen bilden die verfügten Betriebsdaten der Schiessanlagen.Bei den Berechnungen werden die Topographie, die Schützenhäuser wie auch weitere Hindernisse mitberücksichtigt.",,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,"['environment_EnvironmentalProtection', 'environment']",2019-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1859,geocat.ch,ur-1859.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Kantonale Erhebungen der Luftbelastung (Messnetze) (UR),"['Geobasisdaten', 'opendata.swiss']",Der Datensatz beinhaltet die Standorte der Messstationen der kantonalen Messnetze.,,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['climatologyMeteorologyAtmosphere'],2020-12-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-2007,geocat.ch,ur-2007.xml,,,"['Wegnetz', 'Geobasisdaten', 'opendata.swiss']",,Velowegnetz [im Aufbau] (UR),"['Wegnetz', 'Geobasisdaten', 'opendata.swiss']",Velowegnetz des Kanton Uris. Der Datensatz befindet sich im Aufbau und enthält deshalb noch nicht das ganze offizielle Velowegnetz des Kanton Uris. Zurzeit sind hauptsächlich die nationalen Velowege aufgeführt.,,"['path netwok', 'official geodata', 'opendata.swiss']",,"['réseau de chemin', 'réseau de chemin', 'géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['rete di cammino', 'geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2024-12-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1909,geocat.ch,ur-1909.xml,,,,,Eigentum ASTRA,,Darstellung der Liegenschaften im Eigentum ASTRA,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['planningCadastre_Cadastre', 'planningCadastre']",2025-01-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1981,geocat.ch,ur-1981.xml,,,['opendata.swiss'],,Hochwasserüberlastkorridore,['opendata.swiss'],"Bei den Hochwasserüberlastkorridoren werden Gebiete angezeigt, welche bei einem Hochwasserereignis infolge Überlast eines Fluss- oder Bachgerinnes oder bewusst als Entlastungs- oder Retentionsräume überschwemmt werden können. Bei den hier dargestellten Gebieten handelt es sich um Hochwasserüberlastkorridore bis zu einem 300-jährlichen Hochwasserereignis. Dies bedeutet, ein solches Ereignis tritt mit einer Wahrscheinlichkeit von einem Mal in 300 Jahren auf.Die bezeichneten Korridore und Retentionsräume werden von den Gemeinden in ihrer kommunalen Nutzungsplanung z.B. durch Baulinien oder bestimmten Zonenvorschriften berücksichtigt.",,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,['inlandWaters'],2022-10-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-2006,geocat.ch,ur-2006.xml,,,"['Kantonsstrasse', 'opendata.swiss']",,Tonnage Kantonsstrasse,"['Kantonsstrasse', 'opendata.swiss']",Angaben der Tonnagen auf der Kantonsstrasse.,,"['cantonal road', 'opendata.swiss']",,"['route cantonale', 'route cantonale', 'opendata.swiss', 'opendata.swiss']",,,,"['strada cantonale', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2025-09-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1800,geocat.ch,ur-1800.xml,,,,,Grünpflege AfBN,,Grünpflege entlang der Nationalstrassen in der Gebietseinteilung 11.,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['biota'],2022-10-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1852,geocat.ch,ur-1852.xml,,,,,Bauland DB RaumPlus,,Die Baulanddatenbank beinhaltet die bebaubaren Flächen im ganzen Kanton Uri. Die Informationen basieren auf Auswertungen der kommunalen Nutzungsplanungen gemäss der Methode Raum+. Sämtliche Inhalte der Baulanddatenbank sind unverbindlich und jegliche Haftung wird abgelehnt.,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['planningCadastre_Planning', 'planningCadastre']",2024-05-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1857,geocat.ch,ur-1857.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Gemeindestrassen,"['Geobasisdaten', 'opendata.swiss']",Strassen unter Zuständigkeit der Gemeinden (inklusive Klassierung und Belagsarten),,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2022-10-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1866,geocat.ch,ur-1866.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Abfallanlagen (UR),"['Geobasisdaten', 'opendata.swiss']","Die Verordnung vom 4. Dezember 2015 über die Vermeidung und die Entsorgung von Abfällen (Abfallverordnung, VVEA)definiert den Begriff Abfallanlagen als Anlagen, in denen Abfälle behandelt, verwertet, abgelagert oder zwischengelagert werden. Ausgenommen sind Materialentnahmestellen, in denen Aushub- und Ausbruchmaterial verwertet wird. Gemäss Artikel 4 und 5 VVEA weisen die Kantone in der Abfall- und Deponieplanung den Bedarf an Abfallanlagen und deren Standort aus. Der Bau und der Betrieb von Abfallanlagen bedürfen einer Bewilligung des zuständigen Amts (Artikel 37 Ziffer 5 Kantonales Umweltgesetz (KUG; RB 40.7011).",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2024-02-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1875,geocat.ch,ur-1875.xml,,,,,i-EMS Strassen Basispunkte,,Diesen Layer i-EMS (integrales Erhaltungsmanagement) zeigt die Basispunkte mit Abstand von 100m der Strassen im Auftrag der Gemeinde.,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2024-09-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1787,geocat.ch,ur-1787.xml,,,,,Berechnete Erosionsflächen im alpinen Raum,,Basierend auf Luftbilddaten 2019 der swisstopo wird mit Hilfe eines GIS-Tools der Bodenbedeckungsgrad berechnet und daraus die potentiellen Erosionsflächen im Urner Alpgebiet abgeleitet. Die daraus resultierenden Erosionskarten sind Grundlage und Hilfsmittel für die Verifizierung im Feld im Rahmen der jährlichen Sömmerungskontrolle durch die Landwirtschaft.,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['geoscientificInformation_NaturalHazards', 'geoscientificInformation']",2019-08-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1949,geocat.ch,ur-1949.xml,,,['Kantonsstrasse'],,Strategie Kantonsstrassen,['Kantonsstrasse'],"Ausrichtung von baulichem und betrieblichem Unterhalt der Kantonsstrassen aufErschliessungsqualitätenDie «Strategie Strasse 2019» hat zum Ziel, die knapp verfügbaren Mittel für den Strassenbereichmöglichst zielgerichtet einzusetzen, so dass für die Urner Bevölkerung und Wirtschaft ein Maximum anNutzen entsteht.",,['cantonal road'],,"['route cantonale', 'route cantonale']",,,,['strada cantonale'],,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2025-09-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1980,geocat.ch,ur-1980.xml,,,,,Signalisation (Strassenverkehr) [im Aufbau],,Beinhaltet die Signalisation des Strassenverkehrs die einer amtlichen Publikation benötigen.,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2025-09-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1844,geocat.ch,ur-1844.xml,,,['opendata.swiss'],,Strassenverkehrslärm Nacht,['opendata.swiss'],"Der Strassenlärmkataster wurde mit dem Berechnungsprogramm SLIP erstellt. Grundlagen für die Berechnungen bilden die Verkehrszahlen der Kantons- und Gemeindestrassen aus dem Jahr 2018. Bei den Berechnungen werden die Topographie wie auch Hindernisse (Lärmschutzwände, Gebäude, usw.) mitberücksichtigt.",,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,"['environment_EnvironmentalProtection', 'environment']",2022-03-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1952,geocat.ch,ur-1952.xml,,,"['Jagdbanngebiet', 'Geobasisdaten', 'opendata.swiss']",,Jagdbanngebiete kantonal (UR),"['Jagdbanngebiet', 'Geobasisdaten', 'opendata.swiss']",Dieser Datensatz enthält die Jagdbanngebiete des Kanton Uris (CH168) Die Jagdbanngebiet des Bundes können bei Bedarf über den Geodatenkatalog als WMS eingebunden werden.,,"['game reserve', 'official geodata', 'opendata.swiss']",,"['district franc', 'district franc', 'géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['bandita di caccia', 'geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['environment_NatureProtection', 'environment']",2019-06-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1822,geocat.ch,ur-1822.xml,,,['Kantonsstrasse'],,Sondagen Kantonsstrassen,['Kantonsstrasse'],"Im Auftrag von Amt für Tiefbau. Bohrungen der Stützmauer sowie Sondagen in der Fahrbahn, entlang der Kantonsstrasse mit dem Prüfbericht.",,['cantonal road'],,"['route cantonale', 'route cantonale']",,,,['strada cantonale'],,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2018-10-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-2004,geocat.ch,ur-2004.xml,,,['opendata.swiss'],,Ausserorts Innerorts Kantonsstrassen,['opendata.swiss'],Ausserorts- und Innerortsabschnitte der Kantonsstrassen.,,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2025-09-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1989,geocat.ch,ur-1989.xml,,,,,"Eisenbahnlärm (Basis EP 2015, mit NEAT)",,"Die Karte zeigt, welcher Lärmbelastung die Bevölkerung durch den Eisenbahnverkehr ausgesetzt ist. Die Lärmberechnung basiert auf dem Emissionsplan 2015 (Zustand mit NEAT).",,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['environment_EnvironmentalProtection', 'environment']",2001-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1906,geocat.ch,ur-1906.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Postleitzahl (UR),"['Geobasisdaten', 'opendata.swiss']",Postleitzahl aus TOPIC «PLZOrtschaft» der amtlichen Vermessung.,,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['location'],2025-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1883,geocat.ch,ur-1883.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Strassenverkehrszählung reg. und lok. Netz (UR),"['Geobasisdaten', 'opendata.swiss']","Die Datensätze der Strassenverkehrszählung enthalten Informationen über die Standorte der Verkehrszählung, d.h. die Messstellen. Dabei handelt es sich in der Regel um automatische Verkehrszählungen. Der Verkehr wird entweder permanent erhoben oder es findet eine temporäre Messung (z.B. von 2 Wochen Dauer) statt.Die bei der Verkehrszählung erhobenen Verkehrswerte sind nicht Gegenstand des minimalen Geodatenmodells. Das minimale Geodatenmodell enthält hingegen Kennzahlen (z.B. DTV, DWV) auf Jahresbasis, die aus den Verkehrswerten aggregiert bzw. hochgerechnet werden.",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2025-01-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
