dataset_identifier,distribution_format,distribution_access_url,origin,xml_filename,distribution_title_de,distribution_description_de,distribution_title_unknown,distribution_description_unknown,distribution_title_en,distribution_description_en,distribution_title_fr,distribution_description_fr,distribution_title_it,distribution_description_it,distribution_title_rm,distribution_description_rm,distribution_media_type,distribution_language,distribution_download_url,distribution_coverage,distribution_temporal_resolution,distribution_documentation,distribution_id,distribution_issued_date,distribution_modified_date,distribution_license,distribution_rights,distribution_byte_size,distribution_language_status_de,distribution_language_status_en,distribution_language_status_fr,distribution_language_status_it,distribution_language_status_unknown,distribution_language_quality,distribution_description_length_de,distribution_description_length_en,distribution_description_length_fr,distribution_description_length_it,distribution_description_length_rm,distribution_format_name,distribution_format_type,distribution_format_cluster,distribution_format_geodata,distribution_access_url_status_code,distribution_download_url_status_code
ur-2164,CHTOPO:specialised-geoportal,,geocat.ch,ur-2164.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=Bodenbedeckung Zeitstände,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2181,OGC:WMS,,geocat.ch,ur-2181.xml,,,landwirtschaft_sec:ch227_landwirtschftliche_infrastrukturanlagen,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2181,OGC:WFS,,geocat.ch,ur-2181.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2181,,,geocat.ch,ur-2181.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2181,CHTOPO:specialised-geoportal,,geocat.ch,ur-2181.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=Landwirtschaftliche Infrastrukturanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:eb3299b7-5b0b-4308-87e1-35512bdb87a3,WWW:LINK,,geocat.ch,urn_isogeo_metadata_uuid_eb3299b7-5b0b-4308-87e1-35512bdb87a3.xml,,,Couche disponible dans CH-OSM,,,,,,,,,,,,https://ch-osm.geodatasolutions.ch/fr/,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:eb3299b7-5b0b-4308-87e1-35512bdb87a3,,,geocat.ch,urn_isogeo_metadata_uuid_eb3299b7-5b0b-4308-87e1-35512bdb87a3.xml,,,Modèle de données propre aux types d'exploitation des sols sur la page Wiki OSM,,,,,,,,,,,,https://wiki.openstreetmap.org/wiki/FR:Key:landuse,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2175,OGC:WMS,,geocat.ch,ur-2175.xml,,,umwelt_sec:vppw_belastungspotenzial,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2175,OGC:WFS,,geocat.ch,ur-2175.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2175,,,geocat.ch,ur-2175.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2175,CHTOPO:specialised-geoportal,,geocat.ch,ur-2175.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=VPPW Belastungspotenzial,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2169,OGC:WMS,,geocat.ch,ur-2169.xml,,,umwelt_sec:gewaesserraum_technisch,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2169,OGC:WFS,,geocat.ch,ur-2169.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2169,,,geocat.ch,ur-2169.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2169,CHTOPO:specialised-geoportal,,geocat.ch,ur-2169.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=Gewässerraum technisch,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:c60e44cf-94e3-4ada-bc63-d653bf822f6b,WWW:LINK,,geocat.ch,urn_isogeo_metadata_uuid_c60e44cf-94e3-4ada-bc63-d653bf822f6b.xml,,,Modèle de données propre aux sources d'énergies sur la page Wiki OSM,,,,,,,,,,,,https://wiki.openstreetmap.org/wiki/FR:Key:generator:source,,,,,,,,,,,,,,,,,,,,,,,,,,
