Timestamp,Operator,URL,Issue
2026-01-06T17:49:15.244809+01:00,KT_SO,ch.so.afu.erdwaerme.sonde,"cannot convert float infinity to integer"
2026-01-06T17:49:35.537487+01:00,KT_SO,ch.so.afu.erdwaerme.sonde,"cannot convert float infinity to integer"
2026-01-06T17:49:41.712477+01:00,KT_SO,ch.so.afu.wasserbewirtschaftung,"cannot convert float infinity to integer"
